role,total_count,accuracy_mean,accuracy_median,accuracy_min,accuracy_max,accuracy_std,precision_mean,precision_median,precision_min,precision_max,precision_std,recall_mean,recall_median,recall_min,recall_max,recall_std,f1_mean,f1_median,f1_min,f1_max,f1_std,eot_ratio_mean,eot_ratio_median,eot_ratio_min,eot_ratio_max,eot_ratio_std
Assistant,708,0.10297637304998443,0.0,0.0,1.0,0.15358600261099156,0.062271062271062265,0.0,0.0,1.0,0.19729775024205942,0.0220211161387632,0.0,0.0,0.3333333333333333,0.071999791525286,0.029290443399755138,0.0,0.0,0.4444444444444444,0.09202837742459492,0.8841388621421737,0.9761904761904762,0.0,1.0,0.1641807987327405
Caller,727,0.16545566367964787,0.14285714285714285,0.0,0.8,0.16832552607521378,0.031540270429159314,0.0,0.0,0.5714285714285714,0.11544673519263475,0.023251861848353074,0.0,0.0,1.0,0.11889779051371732,0.02178479956257734,0.0,0.0,0.5714285714285714,0.08763806713424697,0.7947662579475026,0.8,0.2,1.0,0.18234054667080898
Caller 2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Caller 1,9,0.1111111111111111,0.0,0.0,0.3333333333333333,0.15713484026367722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,0.6666666666666666,1.0,0.15713484026367724
Virtual Assistant,93,0.3098214285714285,0.2,0.0,1.0,0.3449540857662771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595238095238095,0.6666666666666666,0.0,1.0,0.33562984415908165
Passenger,37,0.10185185185185185,0.037037037037037035,0.0,0.3333333333333333,0.1370245239532291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,0.9074074074074074,0.6666666666666666,1.0,0.1398117488013102
Driver,83,0.23273809523809524,0.24285714285714285,0.0,0.4,0.11716215239849653,0.05,0.0,0.0,0.4,0.13228756555322954,0.041666666666666664,0.0,0.0,0.3333333333333333,0.1102396379610246,0.045454545454545456,0.0,0.0,0.36363636363636365,0.12026142323020866,0.6958333333333333,0.6904761904761905,0.4,1.0,0.1652737284894311
Kara,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Kiki,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
Unknown Speaker,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Virtual Assistant 1,8,0.16666666666666666,0.0,0.0,0.5,0.23570226039551584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.5,1.0,0.23570226039551584
Virtual Assistant 2,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dispatch 1,31,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.0
Dispatch 2,16,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.875,0.875,0.0
Dispatch,26,0.1037037037037037,0.1111111111111111,0.0,0.2,0.08181748901620194,0.3333333333333333,0.0,0.0,1.0,0.4714045207910317,0.037037037037037035,0.0,0.0,0.1111111111111111,0.05237828008789241,0.06666666666666667,0.0,0.0,0.2,0.09428090415820635,0.8857142857142857,0.8571428571428571,0.8,1.0,0.08411200825074139
